[ -0.80737316 694.32832666],[ 0.57062375 34.09351508]
[ -0.69008757 639.43484939],[0.6374503  1.08014408]
[ -0.72357278 657.41222548],[ 0.61272356 17.88990415]
[ -0.74991826 666.26980462],[ 0.58545384 30.62396434]
[ -0.72218904 649.94867669],[ 0.6167664  13.12431212]
[ -0.77024972 682.04091088],[ 0.5716402  37.35614162]
[-6.82726263e-01  8.66082591e+02],[ 0.61108191 15.00329488]
[-6.82726263e-01  8.66082591e+02],[ 0.61108191 15.00329488]
[-6.74665884e-01  8.63064654e+02],[ 0.59270903 32.99886409]
[-6.61777854e-01  8.57319710e+02],[0.62240926 6.93203529]
[-6.70970379e-01  8.62314597e+02],None
[-6.59907806e-01  8.58685728e+02],None
[-6.92260860e-01  8.74070818e+02],[  0.6522783  -16.68497467]
[-6.66504710e-01  8.65110818e+02],[0.62902747 1.6806063 ]
[-6.81425307e-01  8.71662631e+02],[  0.64852645 -15.01968136]
[-7.09780956e-01  8.84387615e+02],[ 0.63126803 -0.98099022]
[-7.22007813e-01  8.90093012e+02],[ 0.61285388 13.45664083]
[-7.11395089e-01  8.87169131e+02],[ 0.61986763 10.79686448]
[-7.28638855e-01  8.93401740e+02],[0.62180174 4.93235075]
[-7.10707643e-01  8.85557290e+02],[ 0.60760338 18.95390326]
[-7.36197459e-01  8.96371295e+02],[ 0.59582694 27.18136653]
[-7.26487666e-01  8.90376132e+02],None
[-7.39804219e-01  8.98366416e+02],None
[-7.36994977e-01  8.96396416e+02],None
[-7.41790980e-01  8.98793816e+02],[  0.64705882 -15.23529412]
[-7.02689789e-01  8.81708711e+02],[ 0.59836066 25.20491803]
[-7.42956971e-01  8.98360620e+02],[  0.64906363 -13.16562404]
[-7.38128507e-01  8.96062699e+02],[ 0.63555337 -1.81278712]
[-7.02562335e-01  8.81402286e+02],[ 0.61607973 13.94445199]
[-7.03830467e-01  8.81956407e+02],[ 0.58163737 44.93819248]
[-7.18062842e-01  8.87647889e+02],[ 0.59860314 30.16366626]
[-7.35541716e-01  8.93522924e+02],[ 0.61282859 16.6011354 ]
[-7.07044905e-01  8.82800989e+02],[ 0.6207444  13.32149723]
[-7.47522165e-01  8.98458688e+02],[  0.72262774 -71.84671533]
[-7.44955099e-01  8.97465524e+02],None
[-7.10805923e-01  8.81620777e+02],None
[-7.28349230e-01  8.88034358e+02],[  0.68016723 -37.83647506]
[-7.09205106e-01  8.79622559e+02],[  0.66960877 -29.53433416]
[-7.09208289e-01  8.78975328e+02],[  0.65935968 -20.58400425]
[-7.03966464e-01  8.76548906e+02],[  0.65906669 -20.66047605]
[-7.05333857e-01  8.76542399e+02],[ 0.61929774 11.65119752]
[-6.92356893e-01  8.72532710e+02],[ 0.61642133 15.77015112]
[-6.48554789e-01  8.54078439e+02],[ 0.60400761 25.89581973]
[-6.77897862e-01  8.65884931e+02],[ 0.6123454 19.8648544]
[-6.71662505e-01  8.62444277e+02],[ 0.60162602 23.01626016]
[-7.07039805e-01  8.75839765e+02],None
[-6.73495947e-01  8.63403902e+02],None
[-6.65364980e-01  8.59014256e+02],None
[-6.74104718e-01  8.63706422e+02],[ 0.64003869 -4.79421809]
[-6.88669301e-01  8.70655068e+02],[0.63060113 1.71269751]
[-7.07199349e-01  8.78036172e+02],[ 0.61217675 16.96833432]
[-6.92905385e-01  8.73775458e+02],[ 0.60822984 19.70411531]
[-6.94939452e-01  8.75173152e+02],[0.62923101 4.74684558]
[-6.68905796e-01  8.64689094e+02],[ 0.59734393 28.62801533]
[-7.00933324e-01  8.79560329e+02],[ 0.59171079 37.18041294]
[-6.99602219e-01  8.79287527e+02],[ 0.59116803 37.33516245]
[-6.93164924e-01  8.76910698e+02],[  0.66666667 -28.33333333]
[-7.22167665e-01  8.88975702e+02],None
[-7.19244438e-01  8.88536975e+02],None
[-7.20811563e-01  8.88133613e+02],None
[-7.18630066e-01  8.86061754e+02],[0.62780626 1.54956577]
[-6.87487752e-01  8.75149315e+02],[  0.64838267 -13.39829569]
[-7.21784849e-01  8.89372450e+02],[  0.66966384 -30.42971817]
[-7.24713023e-01  8.90931968e+02],[ 0.63780703 -4.9637667 ]
[-7.20905247e-01  8.89852053e+02],[ 0.61137181 19.28042751]
[-7.28090802e-01  8.90862799e+02],[ 0.58476779 41.3939052 ]
[-7.40803994e-01  8.95495755e+02],[ 0.57530483 49.471786  ]
[-7.35618844e-01  8.91921714e+02],[0.63130641 0.11536372]
[-6.97636865e-01  8.76073066e+02],[  0.65200113 -19.77318225]
[-7.24164163e-01  8.86300668e+02],None
[-7.05963052e-01  8.79747957e+02],[  0.67961165 -43.        ]
[-7.18601176e-01  8.84645134e+02],[  0.65000342 -19.18985951]
